point_id,lon,lat,label,name
pos_0,77.57601953237192,13.0484082909097,1,Bhadrappa layout
pos_1,77.5746801037001,12.993628518441197,1,Sampangiram Nagar
pos_2,77.5586167901292,13.036299366522398,1,KEB Compound Maththikere
pos_3,77.5644641478985,12.979452406103496,1,Minerva Mill
pos_4,77.5680827922834,12.9687461731971,1,Binny Mill Tank Area
pos_5,77.5717029034626,12.9742403689976,1,Binny Mill Tank Area
pos_6,77.5270908138867,12.9886834477827,1,Kamakshipalya Tank Slum Area
pos_7,77.5778290177912,12.9877884559723,1,Shivananda circle_Railway under pass
pos_8,77.5689299545501,12.9826870750483,1,Okalipuram Junction
pos_9,77.5837934475058,13.016990739630698,1,Mekhri circle
pos_10,77.5748676833932,12.9845070969248,1,Railway underbridge near Kino theatre
pos_11,77.5506791839937,12.9655880581422,1,Jagajeevan ram nagar
pos_12,77.5496064708584,12.964562621467598,1,Padarayan pura
pos_13,77.5654467948301,12.966685088945498,1,Cotton pete
pos_14,77.5841381432569,12.965264679021502,1,City Market Area
pos_15,77.58953084067191,12.9297680655436,1,Jayanagar 3rd Block LIC Colony
pos_16,77.5984756164525,12.9299432220019,1,Krishnappa Garden behind Byrasandra Tank D/s
pos_17,77.5931066062809,12.946265430604898,1,Arekempannahalli Area
pos_18,77.5884362542258,12.9153014272189,1,Marehahalli Tank
pos_19,77.6021990381511,12.925853394918098,1,Bismillanagar – Agencies
pos_20,77.6308201304403,12.938392303162,1,Ejipura
pos_21,77.62797420604042,12.9248172689016,1,Koramangala Slum
pos_22,77.549050659257,12.9720098012112,1,Cholurpalya
pos_23,77.5397292977655,12.9567706596381,1,Bapujinagar
pos_24,77.5924590296566,12.9272333443431,1,Sanjaya Gandhi Slum Area
pos_25,77.6201472893617,12.948554000166698,1,NGV to HSR Layout
pos_26,77.5932394856098,12.954258817190398,1,Shanthi Nagar
pos_27,77.560866420845,12.933395967549698,1,Vidyapeeta circle
pos_28,77.5547781949542,12.935582225738898,1,Srinvas nagar
pos_29,77.5920319676972,12.9554637045861,1,KH Road
pos_30,77.5515100928131,12.974490836482802,1,Magadi Police station
pos_31,77.5378980802288,12.9627817776568,1,RPC layout
pos_32,77.5230110502165,12.921671308184202,1,Shankarappa Garden Gopalapura
pos_33,77.5220423616625,12.992806345636197,1,Kamakshipalya Tank Slum Area
pos_34,77.5503772276235,13.023776751295898,1,Yeshwanthpur Railway station
pos_35,77.51966060165222,12.9077359056874,1,BEML Layout in RR Nagar
pos_36,77.5247623890697,12.9410926623963,1,Nayandahalli
